movie,duration,metascore,gross,awards_nominations,golden_globes_nominated,oscar_nominated
Terminator 3: Rise of the Machines,109,66.0,150350000.0,0,0,0
Traffic,147,86.0,124110000.0,47,5,1
Almost Famous,122,90.0,32520000.0,55,4,1
Boiler Room,120,63.0,16940000.0,2,0,0
"Me, Myself & Irene",116,49.0,90570000.0,0,0,0
Pollock,122,77.0,8600000.0,2,0,1
A Knight's Tale,132,54.0,56080000.0,1,0,0
Wonder Boys,107,73.0,19390000.0,30,4,1
Battlefield Earth,118,9.0,21470000.0,0,0,0
Little Nicky,90,38.0,39440000.0,0,0,0
Frequency,118,67.0,44980000.0,2,1,0
Space Cowboys,130,73.0,90450000.0,0,0,1
Gone in Sixty Seconds,118,35.0,101640000.0,0,0,0
The Patriot,165,63.0,113330000.0,2,0,1
Blade II,117,52.0,81650000.0,0,0,0
Shadow of the Vampire,92,71.0,8280000.0,8,1,1
"Crouching Tiger, Hidden Dragon",120,93.0,128070000.0,66,3,1
"O Brother, Where Art Thou?",107,69.0,45510000.0,11,2,1
Vatel,103,44.0,50000.0,0,0,1
Vertical Limit,124,48.0,68470000.0,1,0,0
The Replacements,118,30.0,44740000.0,0,0,0
Erin Brockovich,131,73.0,125550000.0,38,4,1
Final Destination,98,36.0,53300000.0,0,0,0
Zoolander,90,61.0,45160000.0,0,0,0
Where the Heart Is,120,30.0,33770000.0,0,0,0
"Monsters, Inc.",92,78.0,289910000.0,8,0,1
Love & Basketball,124,70.0,27440000.0,0,0,0
Coyote Ugly,100,27.0,60790000.0,0,0,0
Moulin Rouge!,127,66.0,57390000.0,62,6,1
Men of Honor,129,56.0,48810000.0,0,0,0
Sexy Beast,89,79.0,6940000.0,9,1,1
You Can Count on Me,111,85.0,9180000.0,16,2,1
The Watcher,97,22.0,28930000.0,0,0,0
Bring It On,98,52.0,68350000.0,0,0,0
Children of Men,109,84.0,35290000.0,31,0,1
What Women Want,127,47.0,182810000.0,1,1,0
Snatch,102,55.0,30090000.0,0,0,0
The Contender,126,59.0,17800000.0,6,2,1
Everybody's Famous!,97,60.0,70000.0,0,0,1
Ken Park,93,,,0,0,0
Memento,113,80.0,25530000.0,26,1,1
The Mummy Returns,130,48.0,202010000.0,0,0,0
"Wedding Planner - verliebt, verlobt, verplant",103,33.0,60400000.0,0,0,0
The Cell,107,40.0,61280000.0,5,0,1
Remember the Titans,113,48.0,115650000.0,0,0,0
102 Dalmatians,100,35.0,66940000.0,0,0,1
Jason X,91,25.0,12610000.0,0,0,0
AmЋlie,122,69.0,33200000.0,20,1,1
Meet the Parents,108,73.0,166230000.0,2,1,1
Miss Congeniality,109,43.0,106810000.0,2,2,0
A.I. Artificial Intelligence,146,65.0,78620000.0,22,3,1
Hannibal,131,57.0,165090000.0,0,0,0
Pearl Harbor,183,44.0,198540000.0,7,2,1
MalЏna,109,54.0,3430000.0,4,2,1
Road Trip,93,55.0,68530000.0,0,0,0
Enemy at the Gates,131,53.0,51400000.0,0,0,0
The Taste of Others,112,78.0,640000.0,0,0,1
Gangs of New York,167,72.0,77680000.0,51,5,1
Unbreakable,106,62.0,95000000.0,2,0,0
Original Sin,116,33.0,16250000.0,0,0,0
The Family Man,125,42.0,75760000.0,0,0,0
The Gift,111,62.0,11990000.0,0,0,0
Blow,124,52.0,52940000.0,1,0,0
Atlantis: The Lost Empire,95,52.0,84040000.0,4,0,0
Bedazzled,93,49.0,37880000.0,0,0,0
The Others,104,74.0,96470000.0,13,1,0
The Fast and the Furious,106,58.0,144510000.0,1,0,0
The Matrix Reloaded,138,62.0,281490000.0,2,0,0
Divided We Fall,117,69.0,1320000.0,0,0,1
Equilibrium,107,33.0,1190000.0,0,0,0
Water,117,77.0,3220000.0,1,0,1
Ocean's Eleven,116,74.0,183410000.0,6,0,0
Serendipity,90,52.0,49970000.0,0,0,0
Chocolat,121,64.0,71310000.0,20,4,1
Harry Potter and the Sorcerer's Stone,152,64.0,317560000.0,25,0,1
Bully,108,45.0,510000.0,0,0,0
The Affair of the Necklace,118,42.0,430000.0,0,0,1
The Matrix Revolutions,129,47.0,139260000.0,1,0,0
The Man Who Wasn't There,116,73.0,7490000.0,22,3,1
Bridget Jones's Diary,97,66.0,71500000.0,10,2,1
Wet Hot American Summer,97,42.0,290000.0,0,0,0
Zus & zo,106,50.0,,0,0,1
Spirited Away,125,94.0,10050000.0,11,0,1
Y Tu Mam‡ TambiЋn,106,88.0,13620000.0,11,1,1
Thir13en Ghosts,91,30.0,41870000.0,0,0,0
Amores Perros,154,83.0,5380000.0,9,1,1
The Count of Monte Cristo,131,61.0,54230000.0,0,0,0
Die Another Day,133,56.0,160200000.0,2,1,0
Donnie Darko,113,71.0,730000.0,2,0,0
Before Night Falls,133,85.0,4220000.0,5,1,1
In the Bedroom,130,86.0,35918429.0,34,3,1
The Princess Diaries,111,52.0,108240000.0,1,0,0
Super Troopers,100,48.0,18490000.0,0,0,0
Ali,157,65.0,58180000.0,6,3,1
Billy Elliot,110,74.0,21990000.0,42,2,1
Legally Blonde,96,59.0,95000000.0,3,2,0
Unfaithful,124,63.0,52750000.0,7,1,1
How to Lose a Guy in 10 Days,116,45.0,105810000.0,0,0,0
House of 1000 Corpses,89,31.0,12580000.0,0,0,0
Maid in Manhattan,105,45.0,93820000.0,0,0,0
American Pie 2,108,43.0,145100000.0,1,0,0
The Pianist,150,85.0,32519322.0,19,2,1
Reign of Fire,101,39.0,43060000.0,0,0,0
Star Trek: Nemesis,116,51.0,43120000.0,0,0,0
Shallow Hal,114,48.0,70840000.0,0,0,0
Sweet Home Alabama,108,45.0,127210000.0,0,0,0
Road to Perdition,117,72.0,104050000.0,24,1,1
Scary Movie 2,83,29.0,71280000.0,0,0,0
About Schmidt,125,85.0,65010000.0,33,5,1
Panic Room,112,65.0,95310000.0,3,0,0
The Quiet American,101,84.0,12990000.0,4,1,1
The Bourne Identity,119,68.0,121470000.0,1,0,0
My Big Fat Greek Wedding,95,62.0,241440000.0,15,2,1
Vanilla Sky,136,45.0,100610000.0,7,2,1
Jay and Silent Bob Strike Back,104,51.0,30060000.0,0,0,0
Jeepers Creepers - Es ist angerichtet,90,49.0,37470000.0,0,0,0
Catch Me If You Can,141,76.0,164440000.0,16,1,1
Black Hawk Down,142,74.0,108640000.0,10,0,1
The Girl Next Door,108,47.0,14590000.0,0,0,0
The Rookie,127,72.0,75600000.0,1,0,0
The Royal Tenenbaums,110,76.0,52350000.0,16,1,1
Finding Nemo,100,90.0,380840000.0,21,1,1
Kill Bill: Vol. 1,111,69.0,70100000.0,30,1,0
Rush Hour 2,90,48.0,226140000.0,0,0,0
Spy Game - Der finale Countdown,126,63.0,30000.0,0,0,0
Scooby-Doo,86,35.0,153290000.0,0,0,0
Adaptation.,114,83.0,22250000.0,45,6,1
Ice Age,81,60.0,176390000.0,4,0,1
Jimmy Neutron: Boy Genius,82,65.0,80920000.0,0,0,1
The Time Machine,96,42.0,56680000.0,0,0,1
A Beautiful Mind,135,72.0,170710000.0,31,6,1
The Hours,114,81.0,41600000.0,51,7,1
Secretary,104,63.0,4050000.0,5,1,0
Lilo & Stitch,85,73.0,145770000.0,6,0,1
About a Boy,101,75.0,40570000.0,12,2,1
I Am Sam,132,28.0,40270000.0,5,0,1
The Scorpion King,92,45.0,90340000.0,0,0,0
Not Another Teen Movie,89,32.0,37880000.0,0,0,0
We Were Soldiers,138,65.0,78120000.0,0,0,0
Insomnia,118,78.0,67260000.0,2,0,0
Elling,89,70.0,310000.0,0,0,1
Mr. Deeds,96,24.0,126200000.0,0,0,0
Gosford Park,133,90.0,41300105.0,42,5,1
Iris,91,76.0,1290000.0,16,3,1
A Walk to Remember,101,35.0,41230000.0,0,0,0
The Wild Thornberrys Movie,85,69.0,39880000.0,3,1,1
Van Wilder: Party Liaison,92,26.0,21010000.0,0,0,0
No Man's Land,98,84.0,1060000.0,7,1,1
Dreamcatcher,134,35.0,33690000.0,0,0,0
Monster's Ball,111,69.0,31250000.0,6,1,1
Signs,106,59.0,227970000.0,3,0,0
The Triplets of Belleville,78,91.0,7000000.0,12,0,1
Bend It Like Beckham,112,66.0,32540000.0,5,1,0
Hulk,138,54.0,132120000.0,0,0,0
Talk to Her,112,86.0,9284265.0,13,1,1
Daredevil,103,42.0,430000.0,0,0,0
Zelary,150,66.0,330000.0,0,0,1
Red Dragon,124,60.0,92930000.0,1,0,0
The Butterfly Effect,113,30.0,20000.0,0,0,0
X-Men 2,134,68.0,214950000.0,3,0,0
The Recruit,115,56.0,52780000.0,0,0,0
Son of the Bride,123,68.0,620000.0,0,0,1
The Phantom of the Opera,143,40.0,51230000.0,13,3,1
The Transporter,92,51.0,25300000.0,0,0,0
Rent,135,53.0,29080000.0,6,0,0
Harry Potter and the Chamber of Secrets,161,63.0,261970000.0,13,0,0
Wrong Turn,84,32.0,15420000.0,0,0,0
xXx,124,48.0,141200000.0,0,0,0
The Chronicles of Riddick,119,38.0,57640000.0,0,0,0
Far from Heaven,107,84.0,15850000.0,49,4,1
The Ring,115,57.0,128580000.0,1,0,0
Shrek 2,93,75.0,436470000.0,17,1,1
8 Mile,110,77.0,116720000.0,5,1,1
Whale Rider,101,80.0,20770000.0,9,0,1
The Core,135,48.0,31110000.0,0,0,0
In America,105,76.0,15540000.0,21,2,1
Chicago,113,82.0,170680000.0,63,8,1
Hero,99,85.0,80000.0,13,1,1
Blue Crush,104,61.0,40120000.0,0,0,0
Dirty Pretty Things,97,78.0,8110000.0,9,0,1
The Hot Chick,104,29.0,35020000.0,0,0,0
Old School,88,54.0,74610000.0,0,0,0
Cabin Fever,93,56.0,21160000.0,0,0,0
Harry Potter and the Prisoner of Azkaban,142,82.0,249360000.0,17,0,1
American Splendor,101,90.0,6000000.0,14,1,1
Anger Management,106,52.0,133760000.0,0,0,0
Shark Tale,90,48.0,160760000.0,1,0,1
Finding Neverland,166,67.0,51676606.0,39,5,1
Final Destination 2,90,38.0,46460000.0,0,0,0
Identity,90,64.0,51480000.0,0,0,0
A Mighty Wind,91,81.0,17510000.0,9,0,1
Master and Commander: The Far Side of the World,138,81.0,93930000.0,36,3,1
Holes,117,71.0,67330000.0,1,0,0
The League of Extraordinary Gentlemen,110,30.0,66460000.0,0,0,0
The Man Without a Past,97,84.0,920000.0,2,0,1
Pieces of April,80,70.0,2360000.0,6,1,1
The Curse of the Were-Rabbit,85,87.0,56070000.0,14,0,1
The Cat in the Hat,82,19.0,100450000.0,0,0,0
El crimen del padre Amaro,118,60.0,5710000.0,1,1,1
Love Actually,135,55.0,59370000.0,14,2,0
Tears of the Sun,121,48.0,43430000.0,0,0,0
Bruce Almighty,101,46.0,242590000.0,1,0,0
21 Grams,124,70.0,16250000.0,23,0,1
House of Sand and Fog,126,71.0,13010000.0,14,1,1
Peter Pan,113,64.0,48420000.0,1,0,0
Spider-Man 2,127,83.0,373380000.0,14,0,1
Bridget Jones: The Edge of Reason,108,44.0,40200000.0,3,1,0
Cars,117,73.0,244050000.0,19,1,1
City of God,130,79.0,7560000.0,10,1,1
Daddy Day Care,92,39.0,104150000.0,0,0,0
The Incredibles,115,90.0,261440000.0,30,1,1
The Italian Job,111,68.0,106130000.0,0,0,0
Mission: Impossible III,126,66.0,133380000.0,0,0,0
The Cooler,101,69.0,8240000.0,9,2,1
The Motorcycle Diaries,126,75.0,16760000.0,19,1,1
Resident Evil: Apocalypse,94,35.0,50740000.0,0,0,0
Big Fish,125,58.0,66260000.0,21,4,1
The Day After Tomorrow,124,47.0,186740000.0,2,0,0
Elf,97,64.0,173380000.0,0,0,0
Kingdom of Heaven,144,63.0,47400000.0,1,0,0
Underworld,121,42.0,51480000.0,0,0,0
2 Fast 2 Furious,107,38.0,127080000.0,0,0,0
Freaky Friday,97,70.0,110220000.0,2,1,0
Twin Sisters,137,,1207.0,0,0,1
The Texas Chainsaw Massacre,98,38.0,80150000.0,0,0,0
The Last Samurai,154,55.0,111110000.0,16,3,1
Pirates of the Caribbean: The Curse of the Black Pearl,143,63.0,305390000.0,23,1,1
Mystic River,138,84.0,90140000.0,50,5,1
Around the World in 80 Days,120,49.0,24000000.0,0,0,0
Coraline,100,80.0,75280000.0,12,1,1
Man on Fire,146,47.0,77860000.0,1,0,0
Thirteen,100,70.0,4600000.0,11,2,1
Under the Tuscan Sun,113,52.0,43600000.0,2,1,0
Brother Bear,85,48.0,85330000.0,2,0,1
Freddy vs. Jason,97,37.0,82160000.0,0,0,0
Seabiscuit,150,72.0,120147445.0,12,2,1
xXx: State of the Union,101,37.0,26080000.0,0,0,0
Harry Potter and the Goblet of Fire,157,81.0,289990000.0,12,0,1
The Punisher,124,33.0,33680000.0,0,0,0
The Notebook,123,53.0,60000.0,1,0,0
School of Rock,108,82.0,81260000.0,6,1,0
Troy,163,56.0,133230000.0,1,0,1
Girl with a Pearl Earring,100,72.0,11630000.0,20,2,1
Lost in Translation,101,89.0,44570000.0,50,5,1
The Passion of the Christ,127,47.0,370780000.0,5,0,1
Something's Gotta Give,128,66.0,124590000.0,5,2,1
Live Free or Die Hard,128,69.0,134520000.0,0,0,0
Eternal Sunshine of the Spotless Mind,108,89.0,34130000.0,49,4,1
The Barbarian Invasions,99,70.0,3430000.0,6,1,1
Evil,113,61.0,20000.0,0,0,1
Paycheck,119,43.0,53790000.0,0,0,0
The Polar Express,100,61.0,580000.0,7,1,1
Van Helsing,131,35.0,120030000.0,0,0,0
The Aviator,170,77.0,102610000.0,66,6,1
A Series of Unfortunate Events,108,62.0,118630000.0,10,0,1
Being Julia,104,65.0,7740000.0,7,1,1
Monster,109,74.0,34470000.0,10,1,1
50 First Dates,99,48.0,120780000.0,1,0,0
The Good Shepherd,167,61.0,59900000.0,3,0,1
"I, Robot",115,59.0,144800000.0,0,0,1
A Very Long Engagement,133,76.0,6170000.0,8,1,1
Alexander,175,39.0,34290000.0,0,0,0
Howl's Moving Castle,119,80.0,4710000.0,7,0,1
Superman Returns,154,72.0,200070000.0,3,0,1
Waiting...,94,30.0,16100000.0,0,0,0
Cheaper by the Dozen,98,46.0,138610000.0,0,0,0
King Arthur,126,46.0,51880000.0,1,0,0
Ocean's Twelve,125,58.0,125530000.0,3,0,0
Ray,152,73.0,75305995.0,26,2,1
Madagascar,86,57.0,193140000.0,4,0,0
The Twilight Samurai,129,82.0,,0,0,1
Walking Tall,86,44.0,45860000.0,0,0,0
Cinderella Man,144,69.0,61640000.0,15,2,1
The Brothers Grimm,118,51.0,37900000.0,0,0,0
EuroTrip,93,45.0,17720000.0,0,0,0
A Cinderella Story,95,25.0,51430000.0,0,0,0
The Family Stone,103,56.0,6060000.0,4,1,0
Mr. & Mrs. Smith,120,55.0,186340000.0,2,0,0
Anchorman: The Legend of Ron Burgundy,94,63.0,84140000.0,1,0,0
Robots,91,64.0,128200000.0,2,0,0
Walk the Line,136,72.0,119520000.0,27,3,1
The Secret Life of Walter Mitty,114,54.0,58230000.0,1,0,0
Constantine,121,50.0,75500000.0,0,0,0
King Kong,187,81.0,218050000.0,27,2,1
Inglourious Basterds,153,69.0,120520000.0,64,4,1
The Terminal,128,55.0,77030000.0,2,0,0
Kinsey,118,79.0,10210000.0,21,3,1
The Life Aquatic with Steve Zissou,119,62.0,24010000.0,4,0,0
Downfall,156,82.0,5500000.0,6,0,1
Dawn of the Dead,101,59.0,58890000.0,3,0,0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",143,75.0,291710000.0,16,2,1
Taking Lives,103,38.0,32680000.0,0,0,0
Dodgeball: A True Underdog Story,92,55.0,114320000.0,0,0,0
Syriana,128,76.0,50820000.0,13,2,1
Happy Feet,108,77.0,197990000.0,13,2,1
Harold & Kumar Go to White Castle,88,64.0,18230000.0,0,0,0
The Squid and the Whale,81,82.0,7360000.0,22,3,1
Charlie and the Chocolate Factory,115,72.0,206460000.0,17,1,1
Indiana Jones and the Kingdom of the Crystal Skull,122,65.0,317010000.0,9,0,0
The Room,99,,,0,0,0
The Village,108,44.0,114200000.0,2,0,1
I'm Not There.,135,73.0,4000000.0,13,1,1
National Treasure,131,39.0,173010000.0,0,0,0
Collateral,120,71.0,100000000.0,23,1,1
Jurassic World,124,59.0,652180000.0,12,0,0
The Sea Inside,125,74.0,2090000.0,5,2,1
AVP: Alien vs. Predator,101,29.0,80280000.0,0,0,0
Spanglish,131,48.0,42040000.0,2,1,0
The Hitchhiker's Guide to the Galaxy,109,63.0,51020000.0,1,0,0
Iron Man,126,79.0,318300000.0,13,0,1
The Bourne Supremacy,108,73.0,176050000.0,3,0,0
The Wedding Date,90,32.0,31590000.0,0,0,0
Batman Begins,140,70.0,205340000.0,14,0,1
The Chorus,97,56.0,3630000.0,5,1,1
Kiss Kiss Bang Bang,103,72.0,4240000.0,3,0,0
Harry Potter and the Order of the Phoenix,138,71.0,292000000.0,10,0,0
Napoleon Dynamite,96,64.0,44540000.0,3,0,0
Sideways,126,94.0,71502303.0,60,7,1
Crash,112,69.0,54560000.0,46,2,1
Closer,104,65.0,33990000.0,23,5,1
X-Men: The Last Stand,104,58.0,234360000.0,5,0,0
Mean Girls,97,66.0,86050000.0,5,0,0
The Ring Two,110,44.0,75890000.0,0,0,0
Kill Bill: Vol. 2,137,83.0,66210000.0,16,2,0
Capote,114,88.0,28747570.0,39,1,1
Serenity,119,74.0,25340000.0,2,0,0
The Lovely Bones,135,42.0,43980000.0,15,1,1
Casino Royale,144,80.0,167010000.0,15,0,0
Before Sunset,80,90.0,5790000.0,11,0,1
White Chicks,109,41.0,69150000.0,0,0,0
3:10 to Yuma,122,76.0,53570000.0,6,0,1
As It Is in Heaven,133,,10000.0,0,0,1
The Da Vinci Code,149,46.0,217540000.0,4,1,0
Ratatouille,111,96.0,206440000.0,22,1,1
Pirates of the Caribbean: Dead Man's Chest,151,53.0,423030000.0,21,1,1
Vera Drake,125,83.0,3750000.0,25,1,1
Accepted,93,47.0,36300000.0,0,0,0
The Amityville Horror,90,33.0,64260000.0,0,0,0
Green Street Hooligans,109,55.0,340000.0,0,0,0
House of Flying Daggers,119,89.0,11040000.0,30,1,1
The Golden Compass,113,51.0,70080000.0,6,0,1
Monster House,91,68.0,73660000.0,7,1,1
Hitch,118,58.0,177580000.0,3,0,0
The Constant Gardener,129,82.0,33570000.0,35,3,1
Saw,103,46.0,55150000.0,0,0,0
Idiocracy,84,66.0,440000.0,0,0,0
The Black Dahlia,121,49.0,22520000.0,1,0,1
Brokeback Mountain,134,87.0,83030000.0,77,7,1
Bee Movie,91,54.0,126600000.0,3,1,0
Click,107,45.0,137340000.0,1,0,1
Maria Full of Grace,101,87.0,6520000.0,14,0,1
Hotel Rwanda,121,79.0,23470000.0,18,3,1
The Devil's Rejects,107,53.0,16900000.0,0,0,0
The Pacifier,95,30.0,113010000.0,0,0,0
North Country,126,68.0,18320000.0,9,2,1
Perfume: The Story of a Murderer,147,56.0,2210000.0,1,0,0
Wedding Crashers,119,64.0,209220000.0,5,0,0
House of Wax,108,41.0,32050000.0,0,0,0
Memoirs of a Geisha,145,54.0,57010000.0,22,2,1
Bolt,96,67.0,114050000.0,6,2,1
The Longest Yard,113,48.0,158120000.0,3,0,0
Tangled,100,71.0,200810000.0,8,2,1
Bridge to Terabithia,96,74.0,82230000.0,2,0,0
A History of Violence,96,81.0,31490000.0,33,2,1
The Island,136,50.0,35800000.0,1,0,0
The Diving Bell and the Butterfly,112,92.0,5990000.0,34,3,1
A Good Year,117,47.0,7460000.0,1,0,0
John Carter,132,51.0,73060000.0,0,0,0
Sin City,124,74.0,74100000.0,12,0,0
Underworld: Evolution,106,36.0,62320000.0,0,0,0
The New World,135,69.0,12710000.0,9,0,1
The Sisterhood of the Traveling Pants,119,66.0,39010000.0,0,0,0
Little Children,136,75.0,5460000.0,21,3,1
The Lives of Others,137,89.0,11280000.0,13,1,1
Million Dollar Baby,132,86.0,100420000.0,32,5,1
Sky High,100,62.0,63940000.0,0,0,0
The 40-Year-Old Virgin,116,73.0,109240000.0,9,0,0
Zathura: A Space Adventure,101,67.0,28050000.0,1,0,0
Transamerica,103,66.0,9010000.0,10,2,1
War of the Worlds,116,73.0,234280000.0,6,0,1
The Departed,151,85.0,132370000.0,62,6,1
Sweeney Todd: The Demon Barber of Fleet Street,116,83.0,52880000.0,22,4,1
Munich,164,74.0,47380000.0,28,2,1
Poseidon,98,50.0,60660000.0,0,0,1
Watchmen,162,56.0,107500000.0,2,0,0
Hustle & Flow,116,68.0,22200000.0,10,1,1
The Lake House,99,52.0,52320000.0,1,0,0
Hellboy II: The Golden Army,120,78.0,75750000.0,4,0,1
Mrs Henderson Presents,103,71.0,11030000.0,18,3,1
Spider-Man 3,139,59.0,336530000.0,3,0,0
Elizabeth: The Golden Age,114,45.0,16260000.0,10,1,1
Pride & Prejudice,129,82.0,38370000.0,23,2,1
The Fountain,96,51.0,10140000.0,8,1,0
Mongol: The Rise of Genghis Khan,126,74.0,5700000.0,1,0,1
Match Point,119,72.0,23090000.0,7,4,1
300,117,52.0,210590000.0,6,0,0
Harry Potter and the Half-Blood Prince,153,78.0,301960000.0,9,0,1
Transformers,144,61.0,318760000.0,7,0,1
Flags of Our Fathers,135,79.0,33570000.0,6,1,1
Jarhead,125,58.0,62650000.0,5,0,0
Junebug,106,80.0,2680000.0,8,0,1
Yesterday,90,,,0,0,1
The Kite Runner,128,61.0,15800000.0,8,2,1
The Curious Case of Benjamin Button,166,70.0,127490000.0,64,5,1
Marie Antoinette,123,65.0,15960000.0,8,0,1
Surf's Up,85,64.0,58870000.0,2,0,1
Hard Candy,104,58.0,1010000.0,2,0,0
Joyeux Noel,116,70.0,1050000.0,2,1,1
Hot Fuzz,116,81.0,23620000.0,0,0,0
Lucky Number Slevin,110,53.0,22490000.0,0,0,0
Sophie Scholl: The Final Days,120,76.0,680000.0,0,0,1
Alpha Dog,122,53.0,15230000.0,1,0,0
August Rush,114,38.0,31660000.0,2,0,1
Failure to Launch,97,47.0,88660000.0,1,0,0
Hairspray,117,81.0,118820000.0,21,3,0
The A-Team,117,47.0,77210000.0,0,0,0
Four Brothers,109,49.0,74480000.0,1,0,0
P.S. I Love You,126,39.0,53680000.0,0,0,0
Resident Evil: Extinction,94,41.0,50650000.0,0,0,0
Fantastic Mr. Fox,87,83.0,21000000.0,18,1,1
Real Steel,127,56.0,85460000.0,0,0,1
"Good Night, and Good Luck.",93,80.0,31501218.0,51,4,1
V for Vendetta,132,62.0,70500000.0,2,0,0
The Giver,97,47.0,45090000.0,2,0,0
Toy Story 3,103,92.0,414980000.0,35,1,1
The Queen,103,,56437947.0,57,4,1
Terminator Salvation,115,49.0,125320000.0,0,0,0
The Bourne Ultimatum,115,85.0,227140000.0,18,0,1
Kung Fu Panda,92,73.0,215400000.0,10,1,1
Volver,121,84.0,12900000.0,21,2,1
Beowulf,115,59.0,82160000.0,2,0,0
Lincoln,150,86.0,182200000.0,74,7,1
Don't Tell,120,52.0,30000.0,0,0,1
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,84,89.0,128510000.0,12,2,1
Dreamgirls,130,76.0,103338338.0,50,5,1
The Illusionist,110,68.0,39830000.0,3,0,1
The Assassination of Jesse James by the Coward Robert Ford,160,68.0,3900000.0,17,1,1
Zodiac,157,78.0,33050000.0,14,0,0
Days of Glory,120,82.0,320000.0,1,0,1
Paradise Now,90,71.0,1450000.0,3,1,1
Across the Universe,133,56.0,24340000.0,2,1,1
Scott Pilgrim vs. the World,112,69.0,31490000.0,11,0,0
Sunshine,107,64.0,3680000.0,2,0,0
Hancock,92,49.0,227950000.0,1,0,0
Puss in Boots,90,65.0,149230000.0,5,1,1
Little Miss Sunshine,101,80.0,59890000.0,43,2,1
Pirates of the Caribbean: At World's End,169,50.0,309400000.0,9,0,1
Babel,143,69.0,34300000.0,50,7,1
La Vie en Rose,140,66.0,10299782.0,22,1,1
Blood Diamond,143,64.0,57370000.0,6,1,1
Hostel,94,55.0,47280000.0,0,0,0
Death Race,105,43.0,36060000.0,0,0,0
Gone Baby Gone,114,72.0,20300000.0,14,1,1
The Good German,105,49.0,1300000.0,2,0,1
Lady in the Water,110,36.0,42270000.0,0,0,0
Deja Vu,126,59.0,64030000.0,0,0,0
The Hills Have Eyes,107,52.0,41780000.0,0,0,0
Inside Man,129,76.0,88500000.0,0,0,0
Life of Pi,127,79.0,124980000.0,44,3,1
The Pursuit of Happyness,117,64.0,162590000.0,6,2,1
She's the Man,105,45.0,1020000.0,0,0,0
The Last King of Scotland,123,74.0,17605861.0,19,1,1
Australia,165,53.0,49550000.0,3,0,1
The Equalizer,132,57.0,101530000.0,1,0,0
John Tucker Must Die,89,41.0,41010000.0,0,0,0
Grandma's Boy,94,33.0,6090000.0,0,0,0
Pan's Labyrinth,118,98.0,37620000.0,36,1,1
After the Wedding,120,78.0,1530000.0,0,0,1
The Holiday,138,52.0,63220000.0,0,0,0
Captain America: The First Avenger,124,66.0,176640000.0,2,0,0
The Devil Wears Prada,109,62.0,124730000.0,22,3,1
X-Men Origins: Wolverine,107,40.0,179880000.0,1,0,0
