movie,duration,metascore,gross,critic_reviews,awards_wins,popularity,awards_nominations,golden_globes_nominated,oscar_nominated
The Matrix Reloaded,138,62.0,281490000.0,272.0,0,1062.0,2,0,0
Divided We Fall,117,69.0,1320000.0,48.0,0,,0,0,1
Equilibrium,107,33.0,1190000.0,145.0,0,1688.0,0,0,0
Water,117,77.0,3220000.0,90.0,0,,1,0,1
Ocean's Eleven,116,74.0,183410000.0,183.0,0,667.0,6,0,0
Serendipity,90,52.0,49970000.0,120.0,0,1770.0,0,0,0
Chocolat,121,64.0,71310000.0,152.0,2,2047.0,20,4,1
Harry Potter and the Sorcerer's Stone,152,64.0,317560000.0,265.0,2,117.0,25,0,1
Bully,108,45.0,510000.0,75.0,0,1152.0,0,0,0
The Affair of the Necklace,118,42.0,430000.0,48.0,0,,0,0,1
The Matrix Revolutions,129,47.0,139260000.0,244.0,0,1548.0,1,0,0
The Man Who Wasn't There,116,73.0,7490000.0,195.0,9,3939.0,22,3,1
Bridget Jones's Diary,97,66.0,71500000.0,174.0,1,848.0,10,2,1
Wet Hot American Summer,97,42.0,290000.0,71.0,0,1934.0,0,0,0
Zus & zo,106,50.0,,17.0,0,,0,0,1
Spirited Away,125,94.0,10050000.0,249.0,5,494.0,11,0,1
Y Tu Mam‡ TambiЋn,106,88.0,13620000.0,175.0,7,1236.0,11,1,1
Thir13en Ghosts,91,30.0,41870000.0,150.0,0,2409.0,0,0,0
Amores Perros,154,83.0,5380000.0,157.0,3,2742.0,9,1,1
The Count of Monte Cristo,131,61.0,54230000.0,136.0,0,1244.0,0,0,0
Die Another Day,133,56.0,160200000.0,262.0,0,720.0,2,1,0
Donnie Darko,113,71.0,730000.0,291.0,0,375.0,2,0,0
Before Night Falls,133,85.0,4220000.0,102.0,0,,5,1,1
In the Bedroom,130,86.0,35918429.0,178.0,12,3341.0,34,3,1
The Princess Diaries,111,52.0,108240000.0,108.0,0,976.0,1,0,0
Super Troopers,100,48.0,18490000.0,98.0,0,1089.0,0,0,0
Ali,157,65.0,58180000.0,174.0,0,3557.0,6,3,1
Billy Elliot,110,74.0,21990000.0,151.0,12,2802.0,42,2,1
Legally Blonde,96,59.0,95000000.0,159.0,0,1326.0,3,2,0
Unfaithful,124,63.0,52750000.0,150.0,1,1632.0,7,1,1
How to Lose a Guy in 10 Days,116,45.0,105810000.0,137.0,0,917.0,0,0,0
House of 1000 Corpses,89,31.0,12580000.0,207.0,0,2004.0,0,0,0
Maid in Manhattan,105,45.0,93820000.0,111.0,0,2314.0,0,0,0
American Pie 2,108,43.0,145100000.0,140.0,1,1832.0,1,0,0
The Pianist,150,85.0,32519322.0,192.0,6,617.0,19,2,1
Reign of Fire,101,39.0,43060000.0,137.0,0,2072.0,0,0,0
Star Trek: Nemesis,116,51.0,43120000.0,170.0,0,2260.0,0,0,0
Shallow Hal,114,48.0,70840000.0,108.0,0,1919.0,0,0,0
Sweet Home Alabama,108,45.0,127210000.0,71.0,0,1690.0,0,0,0
Road to Perdition,117,72.0,104050000.0,228.0,3,1323.0,24,1,1
Scary Movie 2,83,29.0,71280000.0,127.0,0,2356.0,0,0,0
About Schmidt,125,85.0,65010000.0,216.0,9,3543.0,33,5,1
Panic Room,112,65.0,95310000.0,235.0,0,1901.0,3,0,0
The Quiet American,101,84.0,12990000.0,149.0,2,,4,1,1
The Bourne Identity,119,68.0,121470000.0,247.0,0,1031.0,1,0,0
My Big Fat Greek Wedding,95,62.0,241440000.0,165.0,4,1760.0,15,2,1
Vanilla Sky,136,45.0,100610000.0,154.0,2,1328.0,7,2,1
Jay and Silent Bob Strike Back,104,51.0,30060000.0,182.0,0,1218.0,0,0,0
Jeepers Creepers - Es ist angerichtet,90,49.0,37470000.0,190.0,0,1762.0,0,0,0
Catch Me If You Can,141,76.0,164440000.0,195.0,6,546.0,16,1,1
Black Hawk Down,142,74.0,108640000.0,200.0,1,575.0,10,0,1
The Girl Next Door,108,47.0,14590000.0,125.0,0,953.0,0,0,0
The Rookie,127,72.0,75600000.0,90.0,0,2025.0,1,0,0
The Royal Tenenbaums,110,76.0,52350000.0,224.0,3,1619.0,16,1,1
Finding Nemo,100,90.0,380840000.0,302.0,6,497.0,21,1,1
Kill Bill: Vol. 1,111,69.0,70100000.0,356.0,2,656.0,30,1,0
Rush Hour 2,90,48.0,226140000.0,128.0,0,2115.0,0,0,0
Spy Game - Der finale Countdown,126,63.0,30000.0,141.0,0,1932.0,0,0,0
Scooby-Doo,86,35.0,153290000.0,137.0,0,1249.0,0,0,0
Adaptation.,114,83.0,22250000.0,242.0,14,2404.0,45,6,1
Ice Age,81,60.0,176390000.0,190.0,0,2411.0,4,0,1
Jimmy Neutron: Boy Genius,82,65.0,80920000.0,66.0,0,,0,0,1
The Time Machine,96,42.0,56680000.0,124.0,0,1824.0,0,0,1
A Beautiful Mind,135,72.0,170710000.0,204.0,15,598.0,31,6,1
The Hours,114,81.0,41600000.0,173.0,8,2197.0,51,7,1
Secretary,104,63.0,4050000.0,163.0,3,1207.0,5,1,0
Lilo & Stitch,85,73.0,145770000.0,178.0,0,1749.0,6,0,1
About a Boy,101,75.0,40570000.0,159.0,3,2222.0,12,2,1
I Am Sam,132,28.0,40270000.0,129.0,1,2468.0,5,0,1
The Scorpion King,92,45.0,90340000.0,165.0,0,2534.0,0,0,0
Not Another Teen Movie,89,32.0,37880000.0,97.0,0,919.0,0,0,0
We Were Soldiers,138,65.0,78120000.0,144.0,0,1623.0,0,0,0
Insomnia,118,78.0,67260000.0,183.0,1,1606.0,2,0,0
Elling,89,70.0,310000.0,68.0,0,,0,0,1
Mr. Deeds,96,24.0,126200000.0,117.0,0,2382.0,0,0,0
Gosford Park,133,90.0,41300105.0,186.0,14,3486.0,42,5,1
Iris,91,76.0,1290000.0,99.0,5,,16,3,1
A Walk to Remember,101,35.0,41230000.0,79.0,0,959.0,0,0,0
The Wild Thornberrys Movie,85,69.0,39880000.0,37.0,0,,3,1,1
Van Wilder: Party Liaison,92,26.0,21010000.0,95.0,0,2244.0,0,0,0
No Man's Land,98,84.0,1060000.0,102.0,2,,7,1,1
Dreamcatcher,134,35.0,33690000.0,176.0,0,2024.0,0,0,0
Monster's Ball,111,69.0,31250000.0,151.0,1,1645.0,6,1,1
Signs,106,59.0,227970000.0,209.0,0,726.0,3,0,0
The Triplets of Belleville,78,91.0,7000000.0,168.0,4,,12,0,1
Bend It Like Beckham,112,66.0,32540000.0,159.0,1,2389.0,5,1,0
Hulk,138,54.0,132120000.0,265.0,0,1597.0,0,0,0
Talk to Her,112,86.0,9284265.0,142.0,4,3647.0,13,1,1
Daredevil,103,42.0,430000.0,277.0,0,1422.0,0,0,0
Zelary,150,66.0,330000.0,25.0,0,,0,0,1
Red Dragon,124,60.0,92930000.0,210.0,1,1443.0,1,0,0
The Butterfly Effect,113,30.0,20000.0,184.0,0,1156.0,0,0,0
X-Men 2,134,68.0,214950000.0,289.0,0,1499.0,3,0,0
The Recruit,115,56.0,52780000.0,155.0,0,2246.0,0,0,0
Son of the Bride,123,68.0,620000.0,52.0,0,,0,0,1
The Phantom of the Opera,143,40.0,51230000.0,151.0,1,652.0,13,3,1
The Transporter,92,51.0,25300000.0,169.0,0,2531.0,0,0,0
Rent,135,53.0,29080000.0,145.0,0,1722.0,6,0,0
Harry Potter and the Chamber of Secrets,161,63.0,261970000.0,237.0,4,419.0,13,0,0
Wrong Turn,84,32.0,15420000.0,191.0,0,2002.0,0,0,0
xXx,124,48.0,141200000.0,196.0,0,82.0,0,0,0
The Chronicles of Riddick,119,38.0,57640000.0,206.0,0,756.0,0,0,0
Far from Heaven,107,84.0,15850000.0,182.0,22,,49,4,1
The Ring,115,57.0,128580000.0,273.0,1,329.0,1,0,0
Shrek 2,93,75.0,436470000.0,205.0,7,1551.0,17,1,1
8 Mile,110,77.0,116720000.0,119.0,3,975.0,5,1,1
Whale Rider,101,80.0,20770000.0,149.0,5,,9,0,1
The Core,135,48.0,31110000.0,149.0,0,2620.0,0,0,0
In America,105,76.0,15540000.0,152.0,1,,21,2,1
Chicago,113,82.0,170680000.0,222.0,19,1081.0,63,8,1
Hero,99,85.0,80000.0,283.0,5,2081.0,13,1,1
Blue Crush,104,61.0,40120000.0,69.0,0,2053.0,0,0,0
Dirty Pretty Things,97,78.0,8110000.0,138.0,1,,9,0,1
The Hot Chick,104,29.0,35020000.0,76.0,0,2030.0,0,0,0
Old School,88,54.0,74610000.0,124.0,0,556.0,0,0,0
Cabin Fever,93,56.0,21160000.0,262.0,0,1648.0,0,0,0
Harry Potter and the Prisoner of Azkaban,142,82.0,249360000.0,277.0,3,377.0,17,0,1
American Splendor,101,90.0,6000000.0,181.0,7,,14,1,1
Anger Management,106,52.0,133760000.0,128.0,0,1898.0,0,0,0
Shark Tale,90,48.0,160760000.0,144.0,0,2747.0,1,0,1
Finding Neverland,166,67.0,51676606.0,225.0,3,2021.0,39,5,1
Final Destination 2,90,38.0,46460000.0,174.0,0,1758.0,0,0,0
Identity,90,64.0,51480000.0,135.0,0,1066.0,0,0,0
A Mighty Wind,91,81.0,17510000.0,96.0,3,,9,0,1
Master and Commander: The Far Side of the World,138,81.0,93930000.0,243.0,7,2521.0,36,3,1
Holes,117,71.0,67330000.0,105.0,0,2242.0,1,0,0
The League of Extraordinary Gentlemen,110,30.0,66460000.0,202.0,0,2174.0,0,0,0
The Man Without a Past,97,84.0,920000.0,103.0,0,,2,0,1
Pieces of April,80,70.0,2360000.0,130.0,1,,6,1,1
The Curse of the Were-Rabbit,85,87.0,56070000.0,210.0,7,,14,0,1
The Cat in the Hat,82,19.0,100450000.0,109.0,0,918.0,0,0,0
El crimen del padre Amaro,118,60.0,5710000.0,84.0,0,,1,1,1
Love Actually,135,55.0,59370000.0,221.0,4,265.0,14,2,0
Tears of the Sun,121,48.0,43430000.0,89.0,0,2275.0,0,0,0
Bruce Almighty,101,46.0,242590000.0,187.0,1,1676.0,1,0,0
21 Grams,124,70.0,16250000.0,192.0,2,2490.0,23,0,1
House of Sand and Fog,126,71.0,13010000.0,158.0,5,,14,1,1
Peter Pan,113,64.0,48420000.0,161.0,0,1514.0,1,0,0
Spider-Man 2,127,83.0,373380000.0,294.0,3,1122.0,14,0,1
Bridget Jones: The Edge of Reason,108,44.0,40200000.0,146.0,0,1886.0,3,1,0
Cars,117,73.0,244050000.0,253.0,7,622.0,19,1,1
City of God,130,79.0,7560000.0,215.0,4,489.0,10,1,1
Daddy Day Care,92,39.0,104150000.0,80.0,0,2298.0,0,0,0
The Incredibles,115,90.0,261440000.0,285.0,13,228.0,30,1,1
The Italian Job,111,68.0,106130000.0,154.0,0,985.0,0,0,0
Mission: Impossible III,126,66.0,133380000.0,307.0,0,1463.0,0,0,0
The Cooler,101,69.0,8240000.0,136.0,0,,9,2,1
The Motorcycle Diaries,126,75.0,16760000.0,189.0,3,4223.0,19,1,1
Resident Evil: Apocalypse,94,35.0,50740000.0,192.0,0,637.0,0,0,0
Big Fish,125,58.0,66260000.0,235.0,0,956.0,21,4,1
The Day After Tomorrow,124,47.0,186740000.0,238.0,1,863.0,2,0,0
Elf,97,64.0,173380000.0,154.0,0,2086.0,0,0,0
Kingdom of Heaven,144,63.0,47400000.0,238.0,1,816.0,1,0,0
Underworld,121,42.0,51480000.0,225.0,0,362.0,0,0,0
2 Fast 2 Furious,107,38.0,127080000.0,149.0,0,1662.0,0,0,0
Freaky Friday,97,70.0,110220000.0,129.0,0,2226.0,2,1,0
Twin Sisters,137,,1207.0,28.0,0,,0,0,1
The Texas Chainsaw Massacre,98,38.0,80150000.0,233.0,0,2191.0,0,0,0
The Last Samurai,154,55.0,111110000.0,187.0,0,1421.0,16,3,1
Pirates of the Caribbean: The Curse of the Black Pearl,143,63.0,305390000.0,269.0,5,407.0,23,1,1
Mystic River,138,84.0,90140000.0,230.0,13,827.0,50,5,1
Around the World in 80 Days,120,49.0,24000000.0,187.0,0,1757.0,0,0,0
Coraline,100,80.0,75280000.0,315.0,1,1070.0,12,1,1
Man on Fire,146,47.0,77860000.0,170.0,0,616.0,1,0,0
Thirteen,100,70.0,4600000.0,126.0,0,1006.0,11,2,1
Under the Tuscan Sun,113,52.0,43600000.0,109.0,0,1948.0,2,1,0
Brother Bear,85,48.0,85330000.0,113.0,0,4372.0,2,0,1
Freddy vs. Jason,97,37.0,82160000.0,268.0,0,900.0,0,0,0
Seabiscuit,150,72.0,120147445.0,174.0,0,4761.0,12,2,1
xXx: State of the Union,101,37.0,26080000.0,79.0,0,191.0,0,0,0
Harry Potter and the Goblet of Fire,157,81.0,289990000.0,297.0,1,291.0,12,0,1
The Punisher,124,33.0,33680000.0,191.0,0,843.0,0,0,0
The Notebook,123,53.0,60000.0,176.0,0,231.0,1,0,0
School of Rock,108,82.0,81260000.0,204.0,0,1005.0,6,1,0
Troy,163,56.0,133230000.0,219.0,0,333.0,1,0,1
Girl with a Pearl Earring,100,72.0,11630000.0,158.0,0,3457.0,20,2,1
Lost in Translation,101,89.0,44570000.0,263.0,17,1058.0,50,5,1
The Passion of the Christ,127,47.0,370780000.0,397.0,3,986.0,5,0,1
Something's Gotta Give,128,66.0,124590000.0,144.0,1,2451.0,5,2,1
Live Free or Die Hard,128,69.0,134520000.0,352.0,0,1529.0,0,0,0
Eternal Sunshine of the Spotless Mind,108,89.0,34130000.0,277.0,14,395.0,49,4,1
The Barbarian Invasions,99,70.0,3430000.0,134.0,1,,6,1,1
Evil,113,61.0,20000.0,67.0,0,,0,0,1
Paycheck,119,43.0,53790000.0,194.0,0,2203.0,0,0,0
The Polar Express,100,61.0,580000.0,183.0,0,3126.0,7,1,1
Van Helsing,131,35.0,120030000.0,233.0,0,1261.0,0,0,0
The Aviator,170,77.0,102610000.0,266.0,22,664.0,66,6,1
A Series of Unfortunate Events,108,62.0,118630000.0,186.0,5,5.0,10,0,1
Being Julia,104,65.0,7740000.0,93.0,2,4015.0,7,1,1
Monster,109,74.0,34470000.0,184.0,4,638.0,10,1,1
50 First Dates,99,48.0,120780000.0,146.0,1,1306.0,1,0,0
The Good Shepherd,167,61.0,59900000.0,195.0,1,2015.0,3,0,1
"I, Robot",115,59.0,144800000.0,225.0,0,1824.0,0,0,1
A Very Long Engagement,133,76.0,6170000.0,186.0,0,4003.0,8,1,1
Alexander,175,39.0,34290000.0,245.0,0,1620.0,0,0,0
Howl's Moving Castle,119,80.0,4710000.0,215.0,4,1044.0,7,0,1
Superman Returns,154,72.0,200070000.0,431.0,0,806.0,3,0,1
Waiting...,94,30.0,16100000.0,91.0,0,1801.0,0,0,0
Cheaper by the Dozen,98,46.0,138610000.0,104.0,0,2238.0,0,0,0
King Arthur,126,46.0,51880000.0,171.0,1,852.0,1,0,0
Ocean's Twelve,125,58.0,125530000.0,196.0,1,498.0,3,0,0
Ray,152,73.0,75305995.0,207.0,12,3084.0,26,2,1
Madagascar,86,57.0,193140000.0,180.0,0,1595.0,4,0,0
The Twilight Samurai,129,82.0,,93.0,0,,0,0,1
Walking Tall,86,44.0,45860000.0,117.0,0,1910.0,0,0,0
Cinderella Man,144,69.0,61640000.0,201.0,4,1967.0,15,2,1
The Brothers Grimm,118,51.0,37900000.0,235.0,0,2273.0,0,0,0
EuroTrip,93,45.0,17720000.0,92.0,0,795.0,0,0,0
A Cinderella Story,95,25.0,51430000.0,68.0,0,927.0,0,0,0
The Family Stone,103,56.0,6060000.0,141.0,1,1889.0,4,1,0
Mr. & Mrs. Smith,120,55.0,186340000.0,230.0,0,1582.0,2,0,0
Anchorman: The Legend of Ron Burgundy,94,63.0,84140000.0,180.0,0,1695.0,1,0,0
Robots,91,64.0,128200000.0,162.0,0,2008.0,2,0,0
Walk the Line,136,72.0,119520000.0,288.0,17,694.0,27,3,1
The Secret Life of Walter Mitty,114,54.0,58230000.0,363.0,0,1011.0,1,0,0
Constantine,121,50.0,75500000.0,284.0,0,1697.0,0,0,0
King Kong,187,81.0,218050000.0,446.0,7,940.0,27,2,1
Inglourious Basterds,153,69.0,120520000.0,492.0,26,200.0,64,4,1
The Terminal,128,55.0,77030000.0,152.0,2,1570.0,2,0,0
Kinsey,118,79.0,10210000.0,189.0,1,4848.0,21,3,1
The Life Aquatic with Steve Zissou,119,62.0,24010000.0,261.0,1,1446.0,4,0,0
Downfall,156,82.0,5500000.0,199.0,4,877.0,6,0,1
Dawn of the Dead,101,59.0,58890000.0,286.0,0,1575.0,3,0,0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",143,75.0,291710000.0,282.0,5,618.0,16,2,1
Taking Lives,103,38.0,32680000.0,142.0,0,1610.0,0,0,0
Dodgeball: A True Underdog Story,92,55.0,114320000.0,191.0,0,1297.0,0,0,0
Syriana,128,76.0,50820000.0,356.0,3,2877.0,13,2,1
Happy Feet,108,77.0,197990000.0,203.0,4,2544.0,13,2,1
Harold & Kumar Go to White Castle,88,64.0,18230000.0,150.0,0,1983.0,0,0,0
The Squid and the Whale,81,82.0,7360000.0,122.0,7,,22,3,1
Charlie and the Chocolate Factory,115,72.0,206460000.0,272.0,3,607.0,17,1,1
Indiana Jones and the Kingdom of the Crystal Skull,122,65.0,317010000.0,472.0,0,660.0,9,0,0
The Room,99,,,70.0,0,990.0,0,0,0
The Village,108,44.0,114200000.0,262.0,0,442.0,2,0,1
I'm Not There.,135,73.0,4000000.0,233.0,2,3364.0,13,1,1
National Treasure,131,39.0,173010000.0,192.0,0,1564.0,0,0,0
Collateral,120,71.0,100000000.0,296.0,4,1356.0,23,1,1
Jurassic World,124,59.0,652180000.0,652.0,1,237.0,12,0,0
The Sea Inside,125,74.0,2090000.0,156.0,2,3978.0,5,2,1
AVP: Alien vs. Predator,101,29.0,80280000.0,245.0,0,1578.0,0,0,0
Spanglish,131,48.0,42040000.0,124.0,0,1048.0,2,1,0
The Hitchhiker's Guide to the Galaxy,109,63.0,51020000.0,277.0,0,836.0,1,0,0
Iron Man,126,79.0,318300000.0,489.0,1,478.0,13,0,1
The Bourne Supremacy,108,73.0,176050000.0,238.0,0,1505.0,3,0,0
The Wedding Date,90,32.0,31590000.0,102.0,0,2251.0,0,0,0
Batman Begins,140,70.0,205340000.0,473.0,1,323.0,14,0,1
The Chorus,97,56.0,3630000.0,112.0,0,,5,1,1
Kiss Kiss Bang Bang,103,72.0,4240000.0,224.0,0,2092.0,3,0,0
Harry Potter and the Order of the Phoenix,138,71.0,292000000.0,332.0,1,488.0,10,0,0
Napoleon Dynamite,96,64.0,44540000.0,220.0,0,1334.0,3,0,0
Sideways,126,94.0,71502303.0,283.0,30,2536.0,60,7,1
Crash,112,69.0,54560000.0,284.0,15,526.0,46,2,1
Closer,104,65.0,33990000.0,211.0,5,1088.0,23,5,1
X-Men: The Last Stand,104,58.0,234360000.0,331.0,1,1420.0,5,0,0
Mean Girls,97,66.0,86050000.0,161.0,0,394.0,5,0,0
The Ring Two,110,44.0,75890000.0,196.0,0,1868.0,0,0,0
Kill Bill: Vol. 2,137,83.0,66210000.0,305.0,1,1349.0,16,2,0
Capote,114,88.0,28747570.0,271.0,16,2929.0,39,1,1
Serenity,119,74.0,25340000.0,274.0,1,1024.0,2,0,0
