,movie,duration,metascore,gross,awards_nominations,golden_globes_nominated,oscar_nominated
172,Rush Hour 2,90,48.0,226140000.0,0,0,0
173,Spy Game - Der finale Countdown,126,63.0,30000.0,0,0,0
174,Scooby-Doo,86,35.0,153290000.0,0,0,0
175,Adaptation.,114,83.0,22250000.0,45,6,1
176,Ice Age,81,60.0,176390000.0,4,0,1
177,Jimmy Neutron: Boy Genius,82,65.0,80920000.0,0,0,1
178,The Time Machine,96,42.0,56680000.0,0,0,1
179,A Beautiful Mind,135,72.0,170710000.0,31,6,1
180,The Hours,114,81.0,41600000.0,51,7,1
181,Secretary,104,63.0,4050000.0,5,1,0
182,Lilo & Stitch,85,73.0,145770000.0,6,0,1
183,About a Boy,101,75.0,40570000.0,12,2,1
184,I Am Sam,132,28.0,40270000.0,5,0,1
185,The Scorpion King,92,45.0,90340000.0,0,0,0
186,Not Another Teen Movie,89,32.0,37880000.0,0,0,0
187,We Were Soldiers,138,65.0,78120000.0,0,0,0
188,Insomnia,118,78.0,67260000.0,2,0,0
189,Elling,89,70.0,310000.0,0,0,1
190,Mr. Deeds,96,24.0,126200000.0,0,0,0
191,Gosford Park,133,90.0,41300105.0,42,5,1
192,Iris,91,76.0,1290000.0,16,3,1
193,A Walk to Remember,101,35.0,41230000.0,0,0,0
194,The Wild Thornberrys Movie,85,69.0,39880000.0,3,1,1
195,Van Wilder: Party Liaison,92,26.0,21010000.0,0,0,0
196,No Man's Land,98,84.0,1060000.0,7,1,1
197,Dreamcatcher,134,35.0,33690000.0,0,0,0
198,Monster's Ball,111,69.0,31250000.0,6,1,1
199,Signs,106,59.0,227970000.0,3,0,0
200,The Triplets of Belleville,78,91.0,7000000.0,12,0,1
201,Bend It Like Beckham,112,66.0,32540000.0,5,1,0
202,Hulk,138,54.0,132120000.0,0,0,0
203,Talk to Her,112,86.0,9284265.0,13,1,1
204,Daredevil,103,42.0,430000.0,0,0,0
205,Zelary,150,66.0,330000.0,0,0,1
206,Red Dragon,124,60.0,92930000.0,1,0,0
207,The Butterfly Effect,113,30.0,20000.0,0,0,0
208,X-Men 2,134,68.0,214950000.0,3,0,0
209,The Recruit,115,56.0,52780000.0,0,0,0
210,Son of the Bride,123,68.0,620000.0,0,0,1
211,The Phantom of the Opera,143,40.0,51230000.0,13,3,1
212,The Transporter,92,51.0,25300000.0,0,0,0
213,Rent,135,53.0,29080000.0,6,0,0
214,Harry Potter and the Chamber of Secrets,161,63.0,261970000.0,13,0,0
215,Wrong Turn,84,32.0,15420000.0,0,0,0
216,xXx,124,48.0,141200000.0,0,0,0
217,The Chronicles of Riddick,119,38.0,57640000.0,0,0,0
218,Far from Heaven,107,84.0,15850000.0,49,4,1
219,The Ring,115,57.0,128580000.0,1,0,0
220,Shrek 2,93,75.0,436470000.0,17,1,1
221,8 Mile,110,77.0,116720000.0,5,1,1
222,Whale Rider,101,80.0,20770000.0,9,0,1
223,The Core,135,48.0,31110000.0,0,0,0
224,In America,105,76.0,15540000.0,21,2,1
225,Chicago,113,82.0,170680000.0,63,8,1
226,Hero,99,85.0,80000.0,13,1,1
227,Blue Crush,104,61.0,40120000.0,0,0,0
228,Dirty Pretty Things,97,78.0,8110000.0,9,0,1
229,The Hot Chick,104,29.0,35020000.0,0,0,0
230,Old School,88,54.0,74610000.0,0,0,0
231,Cabin Fever,93,56.0,21160000.0,0,0,0
232,Harry Potter and the Prisoner of Azkaban,142,82.0,249360000.0,17,0,1
233,American Splendor,101,90.0,6000000.0,14,1,1
234,Anger Management,106,52.0,133760000.0,0,0,0
235,Shark Tale,90,48.0,160760000.0,1,0,1
236,Finding Neverland,166,67.0,51676606.0,39,5,1
237,Final Destination 2,90,38.0,46460000.0,0,0,0
238,Identity,90,64.0,51480000.0,0,0,0
239,A Mighty Wind,91,81.0,17510000.0,9,0,1
240,Master and Commander: The Far Side of the World,138,81.0,93930000.0,36,3,1
241,Holes,117,71.0,67330000.0,1,0,0
242,The League of Extraordinary Gentlemen,110,30.0,66460000.0,0,0,0
243,The Man Without a Past,97,84.0,920000.0,2,0,1
244,Pieces of April,80,70.0,2360000.0,6,1,1
245,The Curse of the Were-Rabbit,85,87.0,56070000.0,14,0,1
246,The Cat in the Hat,82,19.0,100450000.0,0,0,0
247,El crimen del padre Amaro,118,60.0,5710000.0,1,1,1
248,Love Actually,135,55.0,59370000.0,14,2,0
249,Tears of the Sun,121,48.0,43430000.0,0,0,0
250,Bruce Almighty,101,46.0,242590000.0,1,0,0
251,21 Grams,124,70.0,16250000.0,23,0,1
252,House of Sand and Fog,126,71.0,13010000.0,14,1,1
253,Peter Pan,113,64.0,48420000.0,1,0,0
254,Spider-Man 2,127,83.0,373380000.0,14,0,1
255,Bridget Jones: The Edge of Reason,108,44.0,40200000.0,3,1,0
256,Cars,117,73.0,244050000.0,19,1,1
257,City of God,130,79.0,7560000.0,10,1,1
258,Daddy Day Care,92,39.0,104150000.0,0,0,0
259,The Incredibles,115,90.0,261440000.0,30,1,1
260,The Italian Job,111,68.0,106130000.0,0,0,0
261,Mission: Impossible III,126,66.0,133380000.0,0,0,0
262,The Cooler,101,69.0,8240000.0,9,2,1
263,The Motorcycle Diaries,126,75.0,16760000.0,19,1,1
264,Resident Evil: Apocalypse,94,35.0,50740000.0,0,0,0
265,Big Fish,125,58.0,66260000.0,21,4,1
266,The Day After Tomorrow,124,47.0,186740000.0,2,0,0
267,Elf,97,64.0,173380000.0,0,0,0
268,Kingdom of Heaven,144,63.0,47400000.0,1,0,0
269,Underworld,121,42.0,51480000.0,0,0,0
270,2 Fast 2 Furious,107,38.0,127080000.0,0,0,0
271,Freaky Friday,97,70.0,110220000.0,2,1,0
272,Twin Sisters,137,,1207.0,0,0,1
273,The Texas Chainsaw Massacre,98,38.0,80150000.0,0,0,0
274,The Last Samurai,154,55.0,111110000.0,16,3,1
275,Pirates of the Caribbean: The Curse of the Black Pearl,143,63.0,305390000.0,23,1,1
276,Mystic River,138,84.0,90140000.0,50,5,1
277,Around the World in 80 Days,120,49.0,24000000.0,0,0,0
278,Coraline,100,80.0,75280000.0,12,1,1
279,Man on Fire,146,47.0,77860000.0,1,0,0
280,Thirteen,100,70.0,4600000.0,11,2,1
281,Under the Tuscan Sun,113,52.0,43600000.0,2,1,0
282,Brother Bear,85,48.0,85330000.0,2,0,1
283,Freddy vs. Jason,97,37.0,82160000.0,0,0,0
284,Seabiscuit,150,72.0,120147445.0,12,2,1
285,xXx: State of the Union,101,37.0,26080000.0,0,0,0
286,Harry Potter and the Goblet of Fire,157,81.0,289990000.0,12,0,1
287,The Punisher,124,33.0,33680000.0,0,0,0
288,The Notebook,123,53.0,60000.0,1,0,0
289,School of Rock,108,82.0,81260000.0,6,1,0
290,Troy,163,56.0,133230000.0,1,0,1
291,Girl with a Pearl Earring,100,72.0,11630000.0,20,2,1
292,Lost in Translation,101,89.0,44570000.0,50,5,1
293,The Passion of the Christ,127,47.0,370780000.0,5,0,1
294,Something's Gotta Give,128,66.0,124590000.0,5,2,1
295,Live Free or Die Hard,128,69.0,134520000.0,0,0,0
296,Eternal Sunshine of the Spotless Mind,108,89.0,34130000.0,49,4,1
297,The Barbarian Invasions,99,70.0,3430000.0,6,1,1
298,Evil,113,61.0,20000.0,0,0,1
299,Paycheck,119,43.0,53790000.0,0,0,0
300,The Polar Express,100,61.0,580000.0,7,1,1
301,Van Helsing,131,35.0,120030000.0,0,0,0
302,The Aviator,170,77.0,102610000.0,66,6,1
303,A Series of Unfortunate Events,108,62.0,118630000.0,10,0,1
304,Being Julia,104,65.0,7740000.0,7,1,1
305,Monster,109,74.0,34470000.0,10,1,1
306,50 First Dates,99,48.0,120780000.0,1,0,0
307,The Good Shepherd,167,61.0,59900000.0,3,0,1
308,"I, Robot",115,59.0,144800000.0,0,0,1
309,A Very Long Engagement,133,76.0,6170000.0,8,1,1
310,Alexander,175,39.0,34290000.0,0,0,0
311,Howl's Moving Castle,119,80.0,4710000.0,7,0,1
312,Superman Returns,154,72.0,200070000.0,3,0,1
313,Waiting...,94,30.0,16100000.0,0,0,0
314,Cheaper by the Dozen,98,46.0,138610000.0,0,0,0
315,King Arthur,126,46.0,51880000.0,1,0,0
316,Ocean's Twelve,125,58.0,125530000.0,3,0,0
317,Ray,152,73.0,75305995.0,26,2,1
318,Madagascar,86,57.0,193140000.0,4,0,0
319,The Twilight Samurai,129,82.0,,0,0,1
320,Walking Tall,86,44.0,45860000.0,0,0,0
321,Cinderella Man,144,69.0,61640000.0,15,2,1
322,The Brothers Grimm,118,51.0,37900000.0,0,0,0
323,EuroTrip,93,45.0,17720000.0,0,0,0
324,A Cinderella Story,95,25.0,51430000.0,0,0,0
325,The Family Stone,103,56.0,6060000.0,4,1,0
326,Mr. & Mrs. Smith,120,55.0,186340000.0,2,0,0
327,Anchorman: The Legend of Ron Burgundy,94,63.0,84140000.0,1,0,0
328,Robots,91,64.0,128200000.0,2,0,0
329,Walk the Line,136,72.0,119520000.0,27,3,1
330,The Secret Life of Walter Mitty,114,54.0,58230000.0,1,0,0
331,Constantine,121,50.0,75500000.0,0,0,0
332,King Kong,187,81.0,218050000.0,27,2,1
333,Inglourious Basterds,153,69.0,120520000.0,64,4,1
334,The Terminal,128,55.0,77030000.0,2,0,0
335,Kinsey,118,79.0,10210000.0,21,3,1
336,The Life Aquatic with Steve Zissou,119,62.0,24010000.0,4,0,0
337,Downfall,156,82.0,5500000.0,6,0,1
338,Dawn of the Dead,101,59.0,58890000.0,3,0,0
339,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",143,75.0,291710000.0,16,2,1
340,Taking Lives,103,38.0,32680000.0,0,0,0
341,Dodgeball: A True Underdog Story,92,55.0,114320000.0,0,0,0
342,Syriana,128,76.0,50820000.0,13,2,1
343,Happy Feet,108,77.0,197990000.0,13,2,1
344,Harold & Kumar Go to White Castle,88,64.0,18230000.0,0,0,0
345,The Squid and the Whale,81,82.0,7360000.0,22,3,1
346,Charlie and the Chocolate Factory,115,72.0,206460000.0,17,1,1
347,Indiana Jones and the Kingdom of the Crystal Skull,122,65.0,317010000.0,9,0,0
348,The Room,99,,,0,0,0
349,The Village,108,44.0,114200000.0,2,0,1
350,I'm Not There.,135,73.0,4000000.0,13,1,1
351,National Treasure,131,39.0,173010000.0,0,0,0
352,Collateral,120,71.0,100000000.0,23,1,1
353,Jurassic World,124,59.0,652180000.0,12,0,0
354,The Sea Inside,125,74.0,2090000.0,5,2,1
355,AVP: Alien vs. Predator,101,29.0,80280000.0,0,0,0
356,Spanglish,131,48.0,42040000.0,2,1,0
357,The Hitchhiker's Guide to the Galaxy,109,63.0,51020000.0,1,0,0
358,Iron Man,126,79.0,318300000.0,13,0,1
359,The Bourne Supremacy,108,73.0,176050000.0,3,0,0
360,The Wedding Date,90,32.0,31590000.0,0,0,0
361,Batman Begins,140,70.0,205340000.0,14,0,1
362,The Chorus,97,56.0,3630000.0,5,1,1
363,Kiss Kiss Bang Bang,103,72.0,4240000.0,3,0,0
364,Harry Potter and the Order of the Phoenix,138,71.0,292000000.0,10,0,0
365,Napoleon Dynamite,96,64.0,44540000.0,3,0,0
366,Sideways,126,94.0,71502303.0,60,7,1
367,Crash,112,69.0,54560000.0,46,2,1
368,Closer,104,65.0,33990000.0,23,5,1
369,X-Men: The Last Stand,104,58.0,234360000.0,5,0,0
370,Mean Girls,97,66.0,86050000.0,5,0,0
371,The Ring Two,110,44.0,75890000.0,0,0,0
372,Kill Bill: Vol. 2,137,83.0,66210000.0,16,2,0
373,Capote,114,88.0,28747570.0,39,1,1
374,Serenity,119,74.0,25340000.0,2,0,0
375,The Lovely Bones,135,42.0,43980000.0,15,1,1
376,Casino Royale,144,80.0,167010000.0,15,0,0
377,Before Sunset,80,90.0,5790000.0,11,0,1
378,White Chicks,109,41.0,69150000.0,0,0,0
379,3:10 to Yuma,122,76.0,53570000.0,6,0,1
380,As It Is in Heaven,133,,10000.0,0,0,1
381,The Da Vinci Code,149,46.0,217540000.0,4,1,0
382,Ratatouille,111,96.0,206440000.0,22,1,1
383,Pirates of the Caribbean: Dead Man's Chest,151,53.0,423030000.0,21,1,1
384,Vera Drake,125,83.0,3750000.0,25,1,1
385,Accepted,93,47.0,36300000.0,0,0,0
386,The Amityville Horror,90,33.0,64260000.0,0,0,0
387,Green Street Hooligans,109,55.0,340000.0,0,0,0
388,House of Flying Daggers,119,89.0,11040000.0,30,1,1
389,The Golden Compass,113,51.0,70080000.0,6,0,1
390,Monster House,91,68.0,73660000.0,7,1,1
391,Hitch,118,58.0,177580000.0,3,0,0
392,The Constant Gardener,129,82.0,33570000.0,35,3,1
393,Saw,103,46.0,55150000.0,0,0,0
394,Idiocracy,84,66.0,440000.0,0,0,0
395,The Black Dahlia,121,49.0,22520000.0,1,0,1
396,Brokeback Mountain,134,87.0,83030000.0,77,7,1
397,Bee Movie,91,54.0,126600000.0,3,1,0
398,Click,107,45.0,137340000.0,1,0,1
399,Maria Full of Grace,101,87.0,6520000.0,14,0,1
400,Hotel Rwanda,121,79.0,23470000.0,18,3,1
401,The Devil's Rejects,107,53.0,16900000.0,0,0,0
402,The Pacifier,95,30.0,113010000.0,0,0,0
403,North Country,126,68.0,18320000.0,9,2,1
404,Perfume: The Story of a Murderer,147,56.0,2210000.0,1,0,0
405,Wedding Crashers,119,64.0,209220000.0,5,0,0
406,House of Wax,108,41.0,32050000.0,0,0,0
407,Memoirs of a Geisha,145,54.0,57010000.0,22,2,1
408,Bolt,96,67.0,114050000.0,6,2,1
409,The Longest Yard,113,48.0,158120000.0,3,0,0
410,Tangled,100,71.0,200810000.0,8,2,1
411,Bridge to Terabithia,96,74.0,82230000.0,2,0,0
412,A History of Violence,96,81.0,31490000.0,33,2,1
413,The Island,136,50.0,35800000.0,1,0,0
414,The Diving Bell and the Butterfly,112,92.0,5990000.0,34,3,1
415,A Good Year,117,47.0,7460000.0,1,0,0
416,John Carter,132,51.0,73060000.0,0,0,0
417,Sin City,124,74.0,74100000.0,12,0,0
418,Underworld: Evolution,106,36.0,62320000.0,0,0,0
419,The New World,135,69.0,12710000.0,9,0,1
420,The Sisterhood of the Traveling Pants,119,66.0,39010000.0,0,0,0
421,Little Children,136,75.0,5460000.0,21,3,1
422,The Lives of Others,137,89.0,11280000.0,13,1,1
423,Million Dollar Baby,132,86.0,100420000.0,32,5,1
424,Sky High,100,62.0,63940000.0,0,0,0
425,The 40-Year-Old Virgin,116,73.0,109240000.0,9,0,0
426,Zathura: A Space Adventure,101,67.0,28050000.0,1,0,0
427,Transamerica,103,66.0,9010000.0,10,2,1
428,War of the Worlds,116,73.0,234280000.0,6,0,1
429,The Departed,151,85.0,132370000.0,62,6,1
430,Sweeney Todd: The Demon Barber of Fleet Street,116,83.0,52880000.0,22,4,1
431,Munich,164,74.0,47380000.0,28,2,1
432,Poseidon,98,50.0,60660000.0,0,0,1
433,Watchmen,162,56.0,107500000.0,2,0,0
434,Hustle & Flow,116,68.0,22200000.0,10,1,1
435,The Lake House,99,52.0,52320000.0,1,0,0
436,Hellboy II: The Golden Army,120,78.0,75750000.0,4,0,1
437,Mrs Henderson Presents,103,71.0,11030000.0,18,3,1
438,Spider-Man 3,139,59.0,336530000.0,3,0,0
439,Elizabeth: The Golden Age,114,45.0,16260000.0,10,1,1
440,Pride & Prejudice,129,82.0,38370000.0,23,2,1
441,The Fountain,96,51.0,10140000.0,8,1,0
442,Mongol: The Rise of Genghis Khan,126,74.0,5700000.0,1,0,1
443,Match Point,119,72.0,23090000.0,7,4,1
444,300,117,52.0,210590000.0,6,0,0
445,Harry Potter and the Half-Blood Prince,153,78.0,301960000.0,9,0,1
446,Transformers,144,61.0,318760000.0,7,0,1
447,Flags of Our Fathers,135,79.0,33570000.0,6,1,1
448,Jarhead,125,58.0,62650000.0,5,0,0
449,Junebug,106,80.0,2680000.0,8,0,1
450,Yesterday,90,,,0,0,1
451,The Kite Runner,128,61.0,15800000.0,8,2,1
452,The Curious Case of Benjamin Button,166,70.0,127490000.0,64,5,1
453,Marie Antoinette,123,65.0,15960000.0,8,0,1
454,Surf's Up,85,64.0,58870000.0,2,0,1
455,Hard Candy,104,58.0,1010000.0,2,0,0
456,Joyeux Noel,116,70.0,1050000.0,2,1,1
457,Hot Fuzz,116,81.0,23620000.0,0,0,0
458,Lucky Number Slevin,110,53.0,22490000.0,0,0,0
459,Sophie Scholl: The Final Days,120,76.0,680000.0,0,0,1
460,Alpha Dog,122,53.0,15230000.0,1,0,0
461,August Rush,114,38.0,31660000.0,2,0,1
462,Failure to Launch,97,47.0,88660000.0,1,0,0
463,Hairspray,117,81.0,118820000.0,21,3,0
464,The A-Team,117,47.0,77210000.0,0,0,0
465,Four Brothers,109,49.0,74480000.0,1,0,0
466,P.S. I Love You,126,39.0,53680000.0,0,0,0
467,Resident Evil: Extinction,94,41.0,50650000.0,0,0,0
468,Fantastic Mr. Fox,87,83.0,21000000.0,18,1,1
469,Real Steel,127,56.0,85460000.0,0,0,1
470,"Good Night, and Good Luck.",93,80.0,31501218.0,51,4,1
471,V for Vendetta,132,62.0,70500000.0,2,0,0
472,The Giver,97,47.0,45090000.0,2,0,0
473,Toy Story 3,103,92.0,414980000.0,35,1,1
474,The Queen,103,,56437947.0,57,4,1
475,Terminator Salvation,115,49.0,125320000.0,0,0,0
476,The Bourne Ultimatum,115,85.0,227140000.0,18,0,1
477,Kung Fu Panda,92,73.0,215400000.0,10,1,1
478,Volver,121,84.0,12900000.0,21,2,1
479,Beowulf,115,59.0,82160000.0,2,0,0
480,Lincoln,150,86.0,182200000.0,74,7,1
481,Don't Tell,120,52.0,30000.0,0,0,1
482,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,84,89.0,128510000.0,12,2,1
483,Dreamgirls,130,76.0,103338338.0,50,5,1
484,The Illusionist,110,68.0,39830000.0,3,0,1
